date,time,temp,humidity,pressure,sunshine_hours,cloud_coverage,low_mid_cloud_coverage,sea_temp,so2,co,o3,no2,pm10,pm25,plant_idx
2023-05-01,1,8.3,92,1012.6,,0,0,13.9,0.0022,0.28,0.0662,0.0036,71,17,1
2023-05-01,2,8.9,88,1012.4,,0,0,14,0.0023,0.32,0.068,0.0038,68,19,1
2023-05-01,3,10.2,90,1012.3,,0,0,14,0.0022,0.34,0.0664,0.004,78,28,1
2023-05-01,4,9.9,96,1012.2,,0,0,13.9,0.0021,0.37,0.066,0.0046,85,27,1
2023-05-01,5,8.5,98,1012.6,,0,0,13.8,0.0021,0.36,0.0606,0.0042,88,36,1
2023-05-01,6,7.5,100,1013,0,0,0,13.8,0.0019,0.34,0.049,0.0038,83,31,1
2023-05-01,7,9.4,100,1013.4,0.7,0,0,13.8,0.0017,0.34,0.0346,0.0061,79,35,1
2023-05-01,8,13.6,89,1014.8,1,0,0,13.8,0.002,0.33,0.0503,0.0043,63,31,1
2023-05-01,9,15.3,71,1015.7,1,,0,13.8,0.0023,0.28,0.0513,0.005,81,34,1
2023-05-01,10,17.8,37,1015.9,1,0,0,13.7,0.0026,0.23,0.0573,0.004,66,25,1
2023-05-01,11,18.8,36,1016.3,1,1,0,13.7,0.0027,0.21,0.0607,0.0055,51,21,1
2023-05-01,12,19.3,30,1016.7,1,1,0,14.3,0.0026,0.19,0.0608,0.005,42,17,1
2023-05-01,13,20.6,32,1016.9,1,0,0,14.5,0.0024,0.17,0.0611,0.0046,41,16,1
2023-05-01,14,19.9,31,1017.2,1,2,0,14.6,0.0024,0.16,0.0623,0.0041,29,12,1
2023-05-01,15,19.9,26,1016.6,1,1,0,15,0.0023,0.15,0.0627,0.0037,35,10,1
2023-05-01,16,19.6,28,1016.1,1,0,0,15.4,0.0022,0.14,0.0627,0.0033,23,11,1
2023-05-01,17,20.2,25,1015.8,1,0,0,15.3,0.0023,0.13,0.0618,0.0033,27,7,1
2023-05-01,18,19.1,29,1016.1,1,0,0,15.3,0.0024,0.13,0.0611,0.0041,16,6,1
