date,time,예측된발전량(kW)
2023-05-11,8,614312.1
2023-05-11,9,660325.3
2023-05-11,10,660894.56
2023-05-11,11,705848.25
2023-05-11,12,640590.7
2023-05-11,13,497685.1
2023-05-11,14,317466.25
2023-05-11,15,141588.98
2023-05-11,16,0.0
2023-05-11,17,0.0
2023-05-11,18,0.0
2023-05-11,19,0.0
2023-05-11,20,626817.25
2023-05-11,21,0.0
2023-05-11,22,0.0
2023-05-11,23,0.0
2023-05-12,0,0.0
2023-05-12,1,0.0
2023-05-12,2,0.0
2023-05-12,3,0.0
2023-05-12,4,0.0
2023-05-12,5,0.0
2023-05-12,6,881092.44
2023-05-12,7,690932.25
2023-05-12,8,451398.78
2023-05-12,9,470187.72
2023-05-12,10,531561.4
2023-05-12,11,432064.6
2023-05-12,12,265865.47
2023-05-12,13,121443.16
2023-05-12,14,0.0
2023-05-12,15,0.0
2023-05-12,16,0.0
2023-05-12,17,0.0
2023-05-12,18,400016.38
2023-05-12,19,1305586.5
2023-05-12,20,1752670.0
2023-05-12,21,0.0
2023-05-12,22,0.0
2023-05-12,23,0.0
2023-05-13,0,0.0
2023-05-13,1,0.0
2023-05-13,2,0.0
2023-05-13,3,0.0
2023-05-13,4,0.0
2023-05-13,5,0.0
2023-05-13,6,1705111.5
2023-05-13,7,1362616.6
2023-05-13,8,1029026.9
2023-05-13,9,849993.25
2023-05-13,10,686202.75
2023-05-13,11,544759.0
2023-05-13,12,465539.62
2023-05-13,13,327758.88
2023-05-13,14,31574.828
2023-05-13,15,0.0
2023-05-13,16,0.0
2023-05-13,17,0.0
2023-05-13,18,0.0
2023-05-13,19,0.0
2023-05-13,20,430832.84
2023-05-13,21,0.0
2023-05-13,22,0.0
2023-05-13,23,0.0
2023-05-14,0,0.0
2023-05-14,1,0.0
2023-05-14,2,0.0
2023-05-14,3,0.0
2023-05-14,4,0.0
2023-05-14,5,0.0
2023-05-14,6,961438.1
2023-05-14,7,736048.1
2023-05-14,8,537233.6
2023-05-14,9,467611.78
2023-05-14,10,414511.03
2023-05-14,11,338282.6
2023-05-14,12,206635.22
2023-05-14,13,159805.94
2023-05-14,14,138820.2
2023-05-14,15,104558.12
2023-05-14,16,0.0
2023-05-14,17,0.0
2023-05-14,18,0.0
2023-05-14,19,0.0
2023-05-14,20,0.0
2023-05-14,21,0.0
2023-05-14,22,0.0
2023-05-14,23,0.0
2023-05-15,0,0.0
2023-05-15,1,0.0
2023-05-15,2,0.0
2023-05-15,3,0.0
2023-05-15,4,0.0
2023-05-15,5,0.0
2023-05-15,6,0.0
2023-05-15,7,0.0
2023-05-15,8,0.0
2023-05-15,9,1001070.75
2023-05-15,10,1222054.8
2023-05-15,11,1099412.8
2023-05-15,12,901043.8
2023-05-15,13,827911.94
2023-05-15,14,655516.25
2023-05-15,15,517167.56
2023-05-15,16,407642.8
2023-05-15,17,297416.1
2023-05-15,18,35392.027
2023-05-15,19,0.0
2023-05-15,20,0.0
2023-05-15,21,0.0
2023-05-15,22,0.0
2023-05-15,23,0.0
2023-05-16,0,0.0
2023-05-16,1,0.0
2023-05-16,2,0.0
2023-05-16,3,0.0
2023-05-16,4,0.0
2023-05-16,5,0.0
2023-05-16,6,0.0
2023-05-16,7,458944.53
2023-05-16,8,296715.34
2023-05-16,9,336516.0
2023-05-16,10,377488.34
2023-05-16,11,332553.12
2023-05-16,12,289460.56
2023-05-16,13,251004.03
2023-05-16,14,153396.6
2023-05-16,15,193253.47
2023-05-16,16,268012.16
2023-05-16,17,345478.5
2023-05-16,18,411860.03
2023-05-16,19,422065.34
2023-05-16,20,391322.56
2023-05-16,21,0.0
2023-05-16,22,0.0
2023-05-16,23,0.0
2023-05-17,0,0.0
2023-05-17,1,0.0
2023-05-17,2,0.0
2023-05-17,3,0.0
2023-05-17,4,0.0
2023-05-17,5,0.0
2023-05-17,6,340361.56
2023-05-17,7,411470.3
2023-05-17,8,405361.06
2023-05-17,9,487692.25
2023-05-17,10,500065.84
2023-05-17,11,454557.8
2023-05-17,12,344107.78
2023-05-17,13,284482.12
2023-05-17,14,155265.3
2023-05-17,15,0.0
2023-05-17,16,0.0
2023-05-17,17,0.0
2023-05-17,18,0.0
2023-05-17,19,0.0
2023-05-17,20,688456.44
2023-05-17,21,0.0
2023-05-17,22,0.0
2023-05-17,23,0.0
2023-05-18,0,0.0
2023-05-18,1,0.0
2023-05-18,2,0.0
2023-05-18,3,0.0
2023-05-18,4,0.0
2023-05-18,5,0.0
2023-05-18,6,941623.8
2023-05-18,7,860883.06
2023-05-18,8,706358.4
2023-05-18,9,517492.8
2023-05-18,10,450225.8
2023-05-18,11,455374.12
2023-05-18,12,479467.4
2023-05-18,13,410900.78
2023-05-18,14,150168.36
2023-05-18,15,0.0
2023-05-18,16,0.0
2023-05-18,17,0.0
2023-05-18,18,0.0
2023-05-18,19,0.0
2023-05-18,20,1231786.8
2023-05-18,21,0.0
2023-05-18,22,0.0
2023-05-18,23,0.0
2023-05-19,0,0.0
2023-05-19,1,0.0
2023-05-19,2,0.0
2023-05-19,3,0.0
2023-05-19,4,0.0
2023-05-19,5,0.0
2023-05-19,6,1625920.5
2023-05-19,7,1755913.9
2023-05-19,8,1368754.2
2023-05-19,9,1118297.4
2023-05-19,10,812066.0
2023-05-19,11,622719.06
2023-05-19,12,531636.06
2023-05-19,13,530859.2
2023-05-19,14,497720.9
2023-05-19,15,461626.2
2023-05-19,16,0.0
2023-05-19,17,438958.1
2023-05-19,18,380752.53
2023-05-19,19,272484.2
2023-05-19,20,171530.36
2023-05-19,21,0.0
2023-05-19,22,0.0
2023-05-19,23,0.0
2023-05-20,0,0.0
2023-05-20,1,0.0
2023-05-20,2,0.0
2023-05-20,3,0.0
2023-05-20,4,0.0
2023-05-20,5,0.0
2023-05-20,6,218279.66
2023-05-20,7,881987.2
2023-05-20,8,776979.44
2023-05-20,9,614502.7
2023-05-20,10,524233.1
2023-05-20,11,510668.97
2023-05-20,12,522354.3
2023-05-20,13,525752.06
2023-05-20,14,448543.38
2023-05-20,15,285793.8
2023-05-20,16,134910.31
2023-05-20,17,0.0
2023-05-20,18,0.0
2023-05-20,19,0.0
