date,time,temp,humidity,pressure,sunshine_hours,cloud_coverage,low_mid_cloud_coverage,sea_temp,so2,co,o3,no2,pm10,pm25,plant_idx
2024-06-07,1,17.2,87.0,1007.3,0.0,9.0,2.0,16.9,0.002,0.1,0.049,0.003,15,7,1
2024-06-07,2,17.6,83.0,1006.9,0.0,10.0,9.0,16.8,0.002,0.1,0.048,0.004,6,0,1
2024-06-07,3,18.1,76.0,1006.5,0.0,10.0,10.0,16.8,0.002,0.1,0.047,0.004,15,8,1
2024-06-07,4,17.9,76.0,1006.1,0.0,10.0,10.0,16.9,0.003,0.1,0.047,0.006,17,11,1
2024-06-07,5,17.9,83.0,1006.2,0.0,10.0,10.0,17.1,0.003,0.1,0.05,0.006,15,12,1
2024-06-07,6,18.4,81.0,1006.1,0.0,8.0,8.0,17.0,0.003,0.1,0.049,0.006,12,8,1
2024-06-07,7,19.2,79.0,1006.2,0.1,6.0,6.0,17.2,0.003,0.1,0.039,0.019,12,12,1
2024-06-07,8,20.0,74.0,1006.5,0.6,10.0,4.0,17.0,0.004,0.2,0.045,0.014,19,18,1
2024-06-07,9,21.6,68.0,1005.9,0.3,10.0,6.0,16.9,0.003,0.1,0.049,0.008,15,12,1
2024-06-07,10,20.6,77.0,1006.2,0.0,10.0,9.0,16.8,0.003,0.1,0.046,0.012,12,11,1
2024-06-07,11,22.7,73.0,1005.8,0.2,9.0,9.0,16.7,0.003,0.2,0.045,0.017,21,14,1
2024-06-07,12,23.2,71.0,1005.4,0.5,9.0,9.0,16.7,0.003,0.2,0.054,0.006,27,17,1
2024-06-07,13,22.6,66.0,1004.6,0.1,10.0,9.0,16.7,0.003,0.2,0.051,0.01,21,0,1
2024-06-07,14,22.8,68.0,1004.1,0.0,10.0,9.0,16.8,0.002,0.1,0.057,0.004,30,14,1
2024-06-07,15,21.3,71.0,1003.9,0.0,10.0,9.0,16.7,0.002,0.2,0.05,0.009,25,17,1
2024-06-07,16,20.8,78.0,1003.6,0.0,10.0,9.0,16.7,0.002,0.1,0.055,0.005,22,15,1
2024-06-07,17,20.1,75.0,1003.2,0.0,10.0,9.0,16.8,0.002,0.2,0.056,0.004,19,15,1
2024-06-07,18,20.1,75.0,1003.1,0.0,10.0,9.0,16.9,0.002,0.1,0.059,0.005,21,11,1
2024-06-07,19,19.0,80.0,1003.3,0.0,10.0,9.0,16.9,0.002,0.2,0.059,0.006,11,10,1
2024-06-07,20,18.5,84.0,1003.1,0.0,10.0,6.0,16.9,0.003,0.1,0.058,0.008,12,9,1
2024-06-07,21,18.7,83.0,1003.1,0.0,10.0,8.0,16.9,0.003,0.2,0.056,0.007,17,15,1
2024-06-07,22,18.4,88.0,1003.3,0.0,10.0,7.0,16.8,0.003,0.1,0.055,0.006,14,14,1
2024-06-07,23,18.5,93.0,1003.0,0.0,10.0,7.0,16.8,0.002,0.1,0.053,0.009,12,12,1
2024-06-08,1,18.6,91.0,1002.5,0.0,9.0,9.0,16.8,0.002,0.2,0.051,0.006,19,16,1
2024-06-08,2,18.2,94.0,1001.9,0.0,10.0,8.0,16.8,0.002,0.2,0.049,0.006,18,14,1
2024-06-08,3,18.5,95.0,1000.6,0.0,10.0,8.0,16.7,0.002,0.2,0.047,0.006,15,11,1
2024-06-08,4,18.7,95.0,1001.1,0.0,10.0,8.0,16.8,0.002,0.1,0.045,0.006,20,14,1
2024-06-08,5,18.6,94.0,1001.1,0.0,10.0,9.0,16.7,0.002,0.1,0.044,0.006,20,13,1
2024-06-08,6,18.6,95.0,1000.9,0.0,10.0,7.0,16.8,0.002,0.1,0.042,0.006,16,13,1
2024-06-08,7,18.6,96.0,1000.1,0.0,10.0,9.0,16.8,0.002,0.1,0.042,0.004,19,10,1
2024-06-08,8,19.0,97.0,1001.1,0.0,10.0,10.0,16.7,0.002,0.1,0.044,0.003,11,7,1
2024-06-08,9,19.5,92.0,1001.6,0.0,10.0,10.0,16.7,0.002,0.1,0.047,0.002,6,3,1
