pwr_idx,date,time,pwr_amount,plant_idx,pwr_memo
191,2020-01-09,8,80,1,
192,2020-01-09,9,300,1,
193,2020-01-09,10,31240,1,
194,2020-01-09,11,122220,1,
195,2020-01-09,12,157740,1,
196,2020-01-09,13,231700,1,
197,2020-01-09,14,236160,1,
198,2020-01-09,15,209110,1,
199,2020-01-09,16,164200,1,
200,2020-01-09,17,117700,1,
201,2020-01-09,18,70330,1,
202,2020-01-09,19,86170,1,
203,2020-01-09,20,118900,1,
204,2020-01-09,21,113480,1,
205,2020-01-09,22,64160,1,
206,2020-01-09,23,11530,1,
207,2020-01-10,1,380,1,
208,2020-01-10,2,1490,1,
209,2020-01-10,3,1320,1,
210,2020-01-10,4,20,1,
211,2020-01-10,5,10,1,
212,2020-01-10,6,10,1,
213,2020-01-10,7,20,1,
214,2020-01-10,8,70,1,
215,2020-01-10,9,1280,1,
216,2020-01-10,10,74080,1,
217,2020-01-10,11,264210,1,
218,2020-01-10,12,329920,1,
219,2020-01-10,13,396990,1,
220,2020-01-10,14,413440,1,
221,2020-01-10,15,495050,1,
222,2020-01-10,16,476680,1,
223,2020-01-10,17,344650,1,
224,2020-01-10,18,123110,1,
225,2020-01-10,19,93490,1,
226,2020-01-10,20,144790,1,
227,2020-01-10,21,142420,1,
228,2020-01-10,22,107820,1,
229,2020-01-10,23,47470,1,
230,2020-01-11,1,4300,1,
231,2020-01-11,2,1490,1,
232,2020-01-11,3,1500,1,
233,2020-01-11,4,700,1,
234,2020-01-11,5,0,1,
235,2020-01-11,6,0,1,
236,2020-01-11,7,40,1,
237,2020-01-11,8,110,1,
238,2020-01-11,9,470,1,
239,2020-01-11,10,50720,1,
240,2020-01-11,11,193050,1,
241,2020-01-11,12,251130,1,
242,2020-01-11,13,339120,1,
243,2020-01-11,14,374440,1,
244,2020-01-11,15,398230,1,
245,2020-01-11,16,387830,1,
246,2020-01-11,17,277090,1,
247,2020-01-11,18,90540,1,
248,2020-01-11,19,88690,1,
249,2020-01-11,20,143370,1,
250,2020-01-11,21,140090,1,
251,2020-01-11,22,104310,1,
252,2020-01-11,23,46100,1,
253,2020-01-12,1,3420,1,
254,2020-01-12,2,1490,1,
255,2020-01-12,3,1500,1,
256,2020-01-12,4,700,1,
257,2020-01-12,5,0,1,
258,2020-01-12,6,0,1,
259,2020-01-12,7,20,1,
260,2020-01-12,8,30,1,
261,2020-01-12,9,650,1,
262,2020-01-12,10,31660,1,
263,2020-01-12,11,95090,1,
264,2020-01-12,12,118750,1,
265,2020-01-12,13,139560,1,
266,2020-01-12,14,170500,1,
267,2020-01-12,15,182020,1,
268,2020-01-12,16,147170,1,
269,2020-01-12,17,110060,1,
270,2020-01-12,18,59920,1,
271,2020-01-12,19,66320,1,
272,2020-01-12,20,81420,1,
273,2020-01-12,21,57640,1,
274,2020-01-12,22,31710,1,
275,2020-01-12,23,9290,1,
276,2020-01-13,1,1250,1,
277,2020-01-13,2,1490,1,
278,2020-01-13,3,70,1,
279,2020-01-13,4,0,1,
280,2020-01-13,5,0,1,
281,2020-01-13,6,0,1,
282,2020-01-13,7,30,1,
283,2020-01-13,8,40,1,
284,2020-01-13,9,520,1,
285,2020-01-13,10,32160,1,
286,2020-01-13,11,132310,1,
287,2020-01-13,12,185430,1,
288,2020-01-13,13,222290,1,
289,2020-01-13,14,243960,1,
290,2020-01-13,15,294700,1,
291,2020-01-13,16,266460,1,
292,2020-01-13,17,226720,1,
293,2020-01-13,18,93120,1,
294,2020-01-13,19,87950,1,
295,2020-01-13,20,136150,1,
296,2020-01-13,21,115910,1,
297,2020-01-13,22,58610,1,
298,2020-01-13,23,15690,1,
299,2020-01-14,1,1080,1,
300,2020-01-14,2,1490,1,
301,2020-01-14,3,1500,1,
302,2020-01-14,4,280,1,
303,2020-01-14,5,0,1,
304,2020-01-14,6,0,1,
305,2020-01-14,7,10,1,
306,2020-01-14,8,30,1,
307,2020-01-14,9,100,1,
308,2020-01-14,10,16940,1,
309,2020-01-14,11,70890,1,
310,2020-01-14,12,97350,1,
311,2020-01-14,13,133430,1,
312,2020-01-14,15,198030,1,
313,2020-01-14,18,276940,1,
314,2020-01-14,19,278250,1,
315,2020-01-14,20,224950,1,
316,2020-01-14,21,124630,1,
317,2020-01-14,22,88490,1,
318,2020-01-14,23,128280,1,
319,2020-01-15,1,121890,1,
320,2020-01-15,2,50980,1,
321,2020-01-15,3,7030,1,
322,2020-01-15,4,280,1,
323,2020-01-15,5,1490,1,
324,2020-01-15,6,1460,1,
325,2020-01-15,7,90,1,
326,2020-01-15,8,0,1,
327,2020-01-15,9,0,1,
328,2020-01-15,10,10,1,
329,2020-01-15,11,0,1,
330,2020-01-15,12,870,1,
331,2020-01-15,14,46400,1,
332,2020-01-15,15,153250,1,
333,2020-01-15,16,195910,1,
334,2020-01-15,17,289570,1,
335,2020-01-15,18,382470,1,
336,2020-01-15,19,388910,1,
337,2020-01-15,20,310140,1,
338,2020-01-15,21,204500,1,
339,2020-01-15,22,93820,1,
340,2020-01-15,23,93650,1,
341,2020-01-16,1,125470,1,
342,2020-01-16,2,124980,1,
343,2020-01-16,3,96610,1,
344,2020-01-16,4,31170,1,
345,2020-01-16,5,2010,1,
346,2020-01-16,6,1510,1,
347,2020-01-16,7,1500,1,
348,2020-01-16,8,710,1,
349,2020-01-16,9,10,1,
350,2020-01-16,10,0,1,
351,2020-01-16,11,10,1,
352,2020-01-16,12,0,1,
353,2020-01-16,13,240,1,
354,2020-01-16,14,41640,1,
355,2020-01-16,15,150210,1,
356,2020-01-16,16,252700,1,
357,2020-01-16,17,342690,1,
358,2020-01-16,18,399240,1,
359,2020-01-16,19,420860,1,
360,2020-01-16,20,419370,1,
361,2020-01-16,21,285860,1,
362,2020-01-16,22,103940,1,
363,2020-01-16,23,95120,1,
364,2020-01-17,1,139240,1,
365,2020-01-17,2,139360,1,
366,2020-01-17,3,106340,1,
367,2020-01-17,4,44860,1,
368,2020-01-17,5,3480,1,
369,2020-01-17,6,1490,1,
370,2020-01-17,7,1500,1,
371,2020-01-17,8,710,1,
372,2020-01-17,9,0,1,
373,2020-01-17,10,0,1,
374,2020-01-17,11,10,1,
375,2020-01-17,12,0,1,
376,2020-01-17,13,580,1,
377,2020-01-17,14,52220,1,
378,2020-01-17,15,154050,1,
379,2020-01-17,16,204400,1,
380,2020-01-17,17,322120,1,
381,2020-01-17,18,391940,1,
382,2020-01-17,19,426140,1,
383,2020-01-17,20,459440,1,
384,2020-01-17,21,374220,1,
385,2020-01-17,22,174650,1,
386,2020-01-17,23,103930,1,
387,2020-01-18,1,141430,1,
388,2020-01-18,2,139310,1,
389,2020-01-18,3,106360,1,
390,2020-01-18,4,48970,1,
391,2020-01-18,5,4990,1,
392,2020-01-18,6,1490,1,
393,2020-01-18,7,1500,1,
394,2020-01-18,8,700,1,
395,2020-01-18,9,0,1,
396,2020-01-18,10,0,1,
397,2020-01-18,11,10,1,
398,2020-01-18,12,0,1,
399,2020-01-18,13,1240,1,
400,2020-01-18,14,75940,1,
401,2020-01-18,15,278860,1,
402,2020-01-18,16,322180,1,
403,2020-01-18,17,403170,1,
404,2020-01-18,18,442770,1,
405,2020-01-18,19,501070,1,
406,2020-01-18,20,477950,1,
407,2020-01-18,21,371620,1,
408,2020-01-18,22,140100,1,
409,2020-01-18,23,98640,1,
410,2020-01-19,1,142370,1,
411,2020-01-19,2,137680,1,
412,2020-01-19,3,105780,1,
413,2020-01-19,4,52560,1,
414,2020-01-19,5,6130,1,
415,2020-01-19,6,1490,1,
416,2020-01-19,7,1500,1,
417,2020-01-19,8,710,1,
418,2020-01-19,9,0,1,
419,2020-01-19,10,40,1,
420,2020-01-19,11,10,1,
421,2020-01-19,12,0,1,
422,2020-01-19,13,110,1,
423,2020-01-19,14,26190,1,
424,2020-01-19,15,70360,1,
425,2020-01-19,16,63490,1,
426,2020-01-19,17,77300,1,
427,2020-01-19,18,82410,1,
428,2020-01-19,19,132420,1,
429,2020-01-19,20,136420,1,
430,2020-01-19,21,91640,1,
431,2020-01-19,22,63160,1,
432,2020-01-19,23,83300,1,
433,2020-01-20,1,72850,1,
434,2020-01-20,2,36430,1,
435,2020-01-20,3,8500,1,
436,2020-01-20,4,450,1,
437,2020-01-20,5,50,1,
438,2020-01-20,6,1420,1,
439,2020-01-20,7,10,1,
440,2020-01-20,8,0,1,
441,2020-01-20,9,0,1,
442,2020-01-20,10,0,1,
443,2020-01-20,11,0,1,
444,2020-01-20,12,0,1,
445,2020-01-20,13,530,1,
446,2020-01-20,14,57580,1,
447,2020-01-20,15,219540,1,
448,2020-01-20,16,289800,1,
449,2020-01-20,17,367960,1,
450,2020-01-20,18,399940,1,
451,2020-01-20,19,440470,1,
452,2020-01-20,20,434480,1,
453,2020-01-20,21,317040,1,
454,2020-01-20,22,158890,1,
455,2020-01-20,23,113340,1,
456,2020-01-21,1,142140,1,
457,2020-01-21,2,138920,1,
458,2020-01-21,3,104960,1,
459,2020-01-21,4,53170,1,
460,2020-01-21,5,4920,1,
461,2020-01-21,6,1490,1,
462,2020-01-21,7,1500,1,
463,2020-01-21,8,680,1,
464,2020-01-21,9,0,1,
465,2020-01-21,10,0,1,
466,2020-01-21,11,10,1,
467,2020-01-21,12,0,1,
468,2020-01-21,13,1620,1,
469,2020-01-21,14,91290,1,
470,2020-01-21,15,331580,1,
471,2020-01-21,16,374220,1,
472,2020-01-21,17,442860,1,
473,2020-01-21,18,484650,1,
474,2020-01-21,19,560790,1,
475,2020-01-21,20,531790,1,
476,2020-01-21,21,431940,1,
477,2020-01-21,22,208490,1,
478,2020-01-21,23,102510,1,
479,2020-01-22,1,141270,1,
480,2020-01-22,2,141250,1,
481,2020-01-22,3,109100,1,
482,2020-01-22,4,58430,1,
483,2020-01-22,5,9390,1,
484,2020-01-22,6,1810,1,
485,2020-01-22,7,1500,1,
486,2020-01-22,8,710,1,
487,2020-01-22,9,0,1,
488,2020-01-22,10,0,1,
489,2020-01-22,11,10,1,
490,2020-01-22,12,0,1,
491,2020-01-22,13,0,1,
492,2020-01-22,14,3020,1,
493,2020-01-22,15,24480,1,
494,2020-01-22,16,21000,1,
495,2020-01-22,17,22900,1,
496,2020-01-22,18,30650,1,
497,2020-01-22,19,19680,1,
498,2020-01-22,20,17150,1,
499,2020-01-22,21,10040,1,
500,2020-01-22,22,3390,1,
501,2020-01-22,23,13690,1,
502,2020-01-23,1,7400,1,
503,2020-01-23,2,1760,1,
504,2020-01-23,3,820,1,
505,2020-01-23,4,510,1,
506,2020-01-23,5,40,1,
507,2020-01-23,6,270,1,
508,2020-01-23,7,0,1,
509,2020-01-23,8,0,1,
510,2020-01-23,9,0,1,
511,2020-01-23,10,0,1,
512,2020-01-23,11,0,1,
513,2020-01-23,12,0,1,
514,2020-01-23,13,240,1,
515,2020-01-23,14,23570,1,
516,2020-01-23,15,110490,1,
517,2020-01-23,16,148190,1,
518,2020-01-23,17,243990,1,
519,2020-01-23,18,288250,1,
520,2020-01-23,19,308100,1,
521,2020-01-23,20,290290,1,
522,2020-01-23,21,188820,1,
523,2020-01-23,22,90090,1,
524,2020-01-23,23,93150,1,
525,2020-01-24,1,129040,1,
526,2020-01-24,2,116230,1,
527,2020-01-24,3,62900,1,
528,2020-01-24,4,14730,1,
529,2020-01-24,5,3290,1,
530,2020-01-24,6,1490,1,
531,2020-01-24,7,1490,1,
532,2020-01-24,8,80,1,
533,2020-01-24,9,0,1,
534,2020-01-24,10,0,1,
535,2020-01-24,11,10,1,
536,2020-01-24,12,0,1,
537,2020-01-24,13,470,1,
538,2020-01-24,14,69530,1,
539,2020-01-24,15,267980,1,
540,2020-01-24,16,325080,1,
541,2020-01-24,17,396870,1,
542,2020-01-24,18,407670,1,
543,2020-01-24,19,393050,1,
544,2020-01-24,20,338880,1,
545,2020-01-24,21,256140,1,
546,2020-01-24,22,84370,1,
547,2020-01-24,23,95080,1,
548,2020-01-25,1,145120,1,
549,2020-01-25,2,142190,1,
550,2020-01-25,3,110560,1,
551,2020-01-25,4,56860,1,
552,2020-01-25,5,6250,1,
553,2020-01-25,6,1490,1,
554,2020-01-25,8,1500,1,
555,2020-01-25,9,710,1,
556,2020-01-25,10,0,1,
557,2020-01-25,11,0,1,
558,2020-01-25,12,10,1,
559,2020-01-25,13,0,1,
560,2020-01-25,14,700,1,
561,2020-01-25,15,22720,1,
562,2020-01-25,16,48930,1,
563,2020-01-25,17,75240,1,
564,2020-01-25,18,116540,1,
565,2020-01-25,19,116580,1,
566,2020-01-25,20,94330,1,
567,2020-01-25,21,74970,1,
568,2020-01-25,22,49030,1,
569,2020-01-25,23,31970,1,
570,2020-01-26,1,66150,1,
571,2020-01-26,2,59810,1,
572,2020-01-26,3,25890,1,
573,2020-01-26,4,1900,1,
574,2020-01-26,5,40,1,
575,2020-01-26,6,0,1,
576,2020-01-26,7,1460,1,
577,2020-01-26,8,30,1,
578,2020-01-26,9,0,1,
579,2020-01-26,10,0,1,
580,2020-01-26,11,0,1,
581,2020-01-26,12,0,1,
582,2020-01-26,13,0,1,
583,2020-01-26,14,490,1,
584,2020-01-26,15,38820,1,
585,2020-01-26,16,141680,1,
586,2020-01-26,17,173660,1,
587,2020-01-26,18,172590,1,
588,2020-01-26,19,235690,1,
589,2020-01-26,20,197720,1,
590,2020-01-26,21,103450,1,
591,2020-01-26,22,70800,1,
592,2020-01-26,23,43940,1,
593,2020-01-27,1,87460,1,
594,2020-01-27,2,110590,1,
